zip_code,lon,lat,city,province
4264AZ,5.099438330678893,51.77533530579952,Veen,North Brabant
3237ME,4.189375592087249,51.89341132190649,Vierpolders,South Holland
7324AB,5.9853543319803055,52.23800245117054,Apeldoorn,Guelders
7421ZN,6.214893103295598,52.24090319707201,Deventer,Overijssel
8166AE,5.975668752538866,52.31589157828166,Emst,Guelders
4941VN,4.8758204657101505,51.71361072193269,Raamsdonksveer,North Brabant
4337RD,3.629078292577815,51.48229560079169,Middelburg,Zeeland
3707AA,5.242518657825222,52.09319146191773,Zeist,Utrecht
7361CL,5.961598667586709,52.168287784397634,Beekbergen,Guelders
2491AP,4.393021358038445,52.07108954517449,'s-Gravenhage,South Holland
5482VR,5.464713152500287,51.61194279166212,Schijndel,North Brabant
2741PJ,4.6561313242481415,52.02604467150672,Waddinxveen,South Holland
9932BD,6.884404379614133,53.32219418217193,Delfzijl,Groningen
1814MB,4.7423575630129085,52.61713069171075,Alkmaar,North Holland
5928RV,6.152659175585698,51.37829687610773,Venlo,Limburg
3316BE,4.648016355626649,51.79205203482936,Dordrecht,South Holland
1046CJ,4.799541009983715,52.39052678707468,Amsterdam,North Holland
5013BW,5.095118565635471,51.57365626862979,Tilburg,North Brabant
1327GA,5.259233083927022,52.35827505983591,Almere,Flevoland
2802AL,4.695672759058278,52.01325101634204,Gouda,South Holland
4462GP,3.87514052437351,51.48792390908256,Goes,Zeeland
4861BW,4.871055538390034,51.50270853769373,Chaam,North Brabant
7615NA,6.72489770298509,52.38539303822746,Harbrinkhoek,Overijssel
4333KE,3.605374669215733,51.526881597201346,Middelburg,Zeeland
5141PB,5.04457559435812,51.68912274341452,Waalwijk,North Brabant
5411AT,5.689160438560017,51.69946235373247,Zeeland,North Brabant
1704RM,4.831776652798978,52.67771446467005,Heerhugowaard,North Holland
8013NG,6.122212203796493,52.49452696210683,Zwolle,Overijssel
8447SL,5.891606171075768,52.96460692400829,Heerenveen,Friesland
7126AA,6.619985388628502,51.940228415180314,Bredevoort,Guelders
3902HR,5.573809988312199,52.03759464232645,Veenendaal,Utrecht
4004JA,5.426943409199125,51.912095105135094,Tiel,Guelders
7008AT,6.266310741931434,51.97320643551593,Doetinchem,Guelders
3902HN,5.569513043296068,52.038220108194196,Veenendaal,Utrecht
5161CB,5.029996982874879,51.66842621732529,Sprang-Capelle,North Brabant
7933TZ,6.445143865906099,52.773797530658015,Pesse,Drenthe
7437RZ,6.289839142472692,52.253564522335985,Bathmen,Overijssel
2132VX,4.687354801398106,52.291590286467596,Hoofddorp,North Holland
4921CK,4.797976000919148,51.67406644082962,Made,North Brabant
7556BS,6.775491099636951,52.28146428121146,Hengelo,Overijssel
5258HL,5.403738033160762,51.67464246927531,Berlicum,North Brabant
